\ipa{}  &	\ipa{tə-tɕém}  &	\ipa{}  &	\ipa{*qjim}  &	\zh{房子}  &	maison  &	\ipa{kʰʲim}  &	\zh{窨}  &	\ipa{*ʔəm-s}  &	\ipa{əm}  &	  \\	
\ipa{ta-qaβ}  &	\ipa{ta-káp}  &	\ipa{tɐ-ʁâv}  &	\ipa{*qap}  &	\zh{针}  &	aiguille  &	\ipa{khab}  &	\zh{針}  &	\ipa{*t-kəm}  &	\ipa{əm}  &	  \\	
\ipa{tɯ-ɟom}  &	\ipa{}  &	\ipa{ki-ʎɟɐ́m}  &	\ipa{*tljam}  &	\zh{一庹}  &	longueur de deux bras  &	\ipa{ɴdom-pa}  &	\zh{覃}  &	\ipa{*ˁləm}  &	\ipa{əm}  &	  \\	
\ipa{}  &	\ipa{tɯ-wám}  &	\ipa{}  &	\ipa{*wam}  &	\zh{熊}  &	ours  &	\ipa{dom}  &	\zh{熊}  &	\ipa{*wəm}  &	\ipa{əm}  &	  \\	
\ipa{tɤ-jpɣom}  &	\ipa{tə-rpam}  &	\ipa{tɐ-lvɐ́m}  &	\ipa{*lpaˠm}  &	\zh{冰}  &	glace  &	\ipa{}  &	\zh{冰}  &	\ipa{*prəŋ}  &	\ipa{əm}  &	  \\	
\ipa{tɤ-zrɤm}  &	\ipa{}  &	\ipa{tɐ-rzám}  &	\ipa{*srɐm}  &	\zh{根}  &	racine  &	\ipa{}  &	\zh{参}  &	\ipa{*srəm}  &	\ipa{əm}  &	  \\	
\ipa{nɤ-ʑo}  &	\ipa{nô}  &	\ipa{nə-jeʔ}  &	\ipa{*naŋ}  &	\zh{你}  &	toi  &	\ipa{}  &	\zh{乃}  &	\ipa{*ˁnəŋʔ}  &	\ipa{əŋ}  &	  \\	
\ipa{ɣʑo}  &	\ipa{}  &	\ipa{kə-tɕʰəwu-jɐ̂}  &	\ipa{*w-jaŋ}  &	\zh{蜜蜂}  &	abeille  &	\ipa{sbraŋ}  &	\zh{蠅}  &	\ipa{*mə-ləŋ}  &	\ipa{əŋ}  &	  \\	
\ipa{tɯ-rqo}  &	\ipa{}  &	\ipa{tə-rqwʌʔ}  &	\ipa{*rqwaŋ}  &	\zh{喉咙}  &	gorge  &	\ipa{}  &	\zh{膺}  &	\ipa{*ʔəŋ}  &	\ipa{əŋ}  &	1  \\	
\ipa{}  &	\ipa{ka-rjáp}  &	\ipa{}  &	\ipa{*rjap}  &	\zh{站、站起来}  &	se tenir debout  &	\ipa{}  &	\zh{立}  &	\ipa{*wə-rəp}  &	\ipa{əp}  &	  \\	
\ipa{lɤt}  &	\ipa{kɐ-lɐ̂t}  &	\ipa{}  &	\ipa{*lɐt}  &	\zh{扔}  &	jeter  &	\ipa{}  &	\zh{lɐt5 (guangzhou)}  &	\ipa{*rət}  &	\ipa{ət}  &	  \\	
\ipa{tɯ-ɣli}  &	\ipa{}  &	\ipa{tə-lɣî}  &	\ipa{*klij}  &	\zh{粪}  &	purin  &	\ipa{ltɕi-ba}  &	\zh{屎}  &	\ipa{*lhijʔ}  &	\ipa{ij}  &	  \\	
\ipa{}  &	\ipa{smai-khrí}  &	\ipa{}  &	\ipa{*sm?}  &	\zh{小米}  &	millet?  &	\ipa{}  &	\zh{米}  &	\ipa{*mijʔ}  &	\ipa{ij}  &	  \\	
\ipa{ti}  &	\ipa{ka-tsə́s}  &	\ipa{kɐ-tsʰəʔ,<tsʰît}  &	\ipa{*ts[h]ij/*tij?}  &	\zh{说}  &	dire  &	\ipa{}  &	\zh{諮}  &	\ipa{*tsij}  &	\ipa{ij}  &	1  \\	
\ipa{tɯ-di}  &	\ipa{}  &	\ipa{tə́-ʎɟə}  &	\ipa{*lij}  &	\zh{箭}  &	flèche  &	\ipa{}  &	\zh{矢}  &	\ipa{*lhilʔ}  &	\ipa{ij}  &	  \\	
\ipa{si}  &	\ipa{kə-ɕî}  &	\ipa{kɐ-səʔ,sə́t}  &	\ipa{*sij}  &	\zh{死}  &	mourir  &	\ipa{ɕi}  &	\zh{死}  &	\ipa{*sijʔ}  &	\ipa{ij}  &	  \\	
\ipa{tɤ-wi}  &	\ipa{tɤ-wí}  &	\ipa{}  &	\ipa{*wij}  &	\zh{祖母}  &	grand-mère  &	\ipa{}  &	\zh{妣}  &	\ipa{*pijʔ}  &	\ipa{ij}  &	1  \\	
\ipa{mbi}  &	\ipa{ka-wə̂}  &	\ipa{kɐ-mbəʔ}  &	\ipa{*bij}  &	\zh{给}  &	donner  &	\ipa{sbjin}  &	\zh{畀}  &	\ipa{*pij-s}  &	\ipa{ij}  &	  \\	
\ipa{ʁnɯz}  &	\ipa{kə-nês}  &	\ipa{ʁnîs}  &	\ipa{*qnis}  &	\zh{二}  &	deux  &	\ipa{gɲis}  &	\zh{二}  &	\ipa{*nij-s}  &	\ipa{ij}  &	  \\	
\ipa{tɯ-rtsɤɣ}  &	\ipa{}  &	\ipa{}  &	\ipa{*rts[ɐ,e]k}  &	\zh{一节}  &	section, articulation  &	\ipa{tsʰigs}  &	\zh{節}  &	\ipa{*tsik}  &	\ipa{ik}  &	  \\	
\ipa{zrɯɣ}  &	\ipa{}  &	\ipa{}  &	\ipa{*srək}  &	\zh{虱子}  &	pou  &	\ipa{ɕig}  &	\zh{蝨}  &	\ipa{*srik}  &	\ipa{ik}  &	  \\	
